iter;num_air;num_per;cost;time;status;method
39;5;25;9568.707993;1.418450117;OPTIMAL;Exact
40;5;25;11368.94791;2.073976994;OPTIMAL;Exact
41;5;25;13184.89144;1.493705034;OPTIMAL;Exact
42;5;25;29089.95821;1.853856087;OPTIMAL;Exact
43;5;25;12149.56391;1.593497038;OPTIMAL;Exact
44;5;25;9046.436828;1.128360033;OPTIMAL;Exact
45;5;25;8593.572757;1.399600983;OPTIMAL;Exact
46;5;25;73219.20065;18.29883909;OPTIMAL;Exact
47;5;25;11518.91628;2.192216873;OPTIMAL;Exact
48;5;25;7432.081147;1.497811794;OPTIMAL;Exact
49;5;25;24136.45512;3.224896908;OPTIMAL;Exact
50;5;25;8718.574201;1.537324905;OPTIMAL;Exact
51;5;25;18797.405;1.974492073;OPTIMAL;Exact
52;5;25;8126.875247;1.291678905;OPTIMAL;Exact
53;5;25;10753.79221;1.63497901;OPTIMAL;Exact
54;5;25;4951.319343;1.519446135;OPTIMAL;Exact
55;5;25;18402.55429;1.190498114;OPTIMAL;Exact
56;5;25;20392.32989;1.407835007;OPTIMAL;Exact
57;5;25;34281.51193;1.63677907;OPTIMAL;Exact
58;5;25;22372.69258;2.407102108;OPTIMAL;Exact
59;5;25;18291.34182;1.51463294;OPTIMAL;Exact
60;5;25;18641.2039;1.205157995;OPTIMAL;Exact
61;5;25;22611.27229;1.764801979;OPTIMAL;Exact
62;5;25;19131.56055;1.208432913;OPTIMAL;Exact
